serious_assault_result_injury, dang_negli_acts, assault_police, prop_dam_by_fire_expl, POSTCODE, theft_from_motor_veh, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, murder, other_acts_intend_cause_injury, serious_assault_not_result_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_hom_rel_offences, other_fraud_decep_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
3,0,0,0,"5019",6,0,2,1,189,0,2,2,8,1,0,0,2,1,1,0,0,0,0,"Apr 2019",38,1,4,0,4
0,0,0,0,"5268",2,0,0,0,1898,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",6,0,3,0,0
0,0,0,0,"5270",0,0,0,0,1910,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",1,0,0,0,0
1,0,0,1,"5271",1,0,0,0,1919,2,0,0,0,0,0,0,1,0,1,0,1,0,0,"Apr 2019",17,2,6,0,1
0,0,0,0,"5275",0,0,0,0,1940,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"Apr 2019",2,0,0,0,0
0,0,0,0,"5276",0,0,0,0,1952,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",5,0,2,0,1
0,0,2,0,"5277",0,0,0,0,1964,0,1,3,0,0,0,0,1,1,1,0,0,0,0,"Apr 2019",9,0,0,0,0
0,0,0,0,"5278",0,0,0,0,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
2,1,0,0,"5280",0,0,0,0,1992,0,0,0,0,0,0,0,3,0,2,0,0,0,0,"Apr 2019",19,1,5,0,5
3,1,0,3,"5290",7,0,0,1,2004,5,6,12,7,1,0,0,7,3,4,2,0,0,2,"Apr 2019",109,2,16,0,27
0,0,0,0,"5020",0,0,1,0,201,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",8,0,2,0,3
0,1,0,0,"5291",0,0,0,0,2016,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",4,0,0,0,1
0,0,0,0,"5301",0,0,0,0,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apr 2019",1,0,1,0,0
0,0,0,0,"5302",0,0,0,0,2036,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5304",0,0,0,0,2048,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Apr 2019",1,0,0,0,0
0,0,0,0,"5320",0,0,0,0,2080,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Apr 2019",2,0,1,0,0
