SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"ST PETERS",0,0,0,0,0,0,"5069",0,0,0,2175,0,0,1,0,0,0,506906,0,1,0,0,0,0,0,0,0,0,"Apr 2020",4,0,1,0,1
"STEPNEY",0,0,0,0,3,0,"5069",0,0,0,2187,0,0,1,0,3,0,506905,0,0,0,0,1,3,0,0,0,0,"Apr 2020",24,1,9,0,3
"FELIXSTOW",0,0,0,0,1,0,"5070",0,0,0,2199,0,0,0,0,0,0,507001,0,1,0,0,0,0,0,0,0,0,"Apr 2020",4,0,2,0,0
"ADELAIDE",0,5,4,0,17,1,"5000",0,20,0,22,0,23,11,7,59,1,500001,0,36,0,0,7,29,12,1,4,0,"Apr 2020",384,12,72,0,63
"FIRLE",0,0,0,0,3,0,"5070",0,0,0,2211,0,0,0,1,1,0,507002,0,0,0,0,0,0,0,0,0,0,"Apr 2020",8,2,0,0,1
"GLYNDE",0,0,0,0,0,0,"5070",0,0,0,2223,0,0,0,0,0,0,507003,0,0,0,0,0,0,0,0,0,0,"Apr 2020",3,0,0,0,3
"MITCHAM",0,0,0,0,1,0,"5062",0,0,0,2235,0,0,0,0,0,0,506207,0,0,0,0,0,0,0,0,0,0,"Apr 2020",2,0,1,0,0
"NETHERBY",0,0,0,0,0,0,"5062",0,0,0,2246,0,0,0,0,0,0,506208,0,0,0,0,0,0,1,0,0,0,"Apr 2020",2,0,0,0,1
"SPRINGFIELD",0,0,0,0,0,0,"5062",0,0,0,2254,0,0,1,0,0,0,506209,0,0,0,0,0,0,0,0,0,0,"Apr 2020",1,0,0,0,0
"TORRENS PARK",0,0,0,0,0,0,"5062",0,0,0,2265,0,0,0,0,0,0,506210,0,0,0,0,0,1,0,0,0,0,"Apr 2020",3,0,1,0,1
