SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"HACKNEY",0,0,0,0,1,0,"5069",0,0,0,2144,0,0,0,0,0,0,506903,0,0,0,0,0,0,0,0,0,0,"Nov 2019",9,2,3,0,3
"MAYLANDS",0,0,0,0,1,0,"5069",0,0,0,2156,0,0,0,0,0,0,506904,0,0,0,0,0,1,0,0,0,0,"Nov 2019",3,0,1,0,0
"ST PETERS",0,0,0,0,3,0,"5069",0,0,0,2168,0,0,1,0,0,0,506906,0,1,0,0,1,0,1,0,0,0,"Nov 2019",9,0,2,0,0
"STEPNEY",0,0,0,0,0,0,"5069",0,0,0,2180,0,0,1,0,1,0,506905,0,0,0,0,1,1,1,0,0,0,"Nov 2019",14,0,8,0,1
"FELIXSTOW",0,0,0,0,0,0,"5070",0,0,0,2192,0,0,0,0,0,0,507001,0,0,0,0,1,2,0,0,0,0,"Nov 2019",6,0,2,0,1
"WINGFIELD",0,1,0,0,1,1,"5013",0,1,0,220,0,0,0,2,0,0,501305,0,2,0,0,1,4,3,0,1,0,"Nov 2019",28,2,7,0,2
"FIRLE",0,0,0,0,3,0,"5070",0,0,0,2204,0,0,0,0,0,0,507002,0,2,0,0,0,0,0,0,0,0,"Nov 2019",9,1,2,0,1
"GLYNDE",0,0,0,0,0,1,"5070",0,1,0,2216,0,0,2,0,0,0,507003,0,1,0,0,1,0,1,0,1,0,"Nov 2019",9,0,1,0,0
"MITCHAM",0,0,0,0,1,0,"5062",0,0,0,2228,0,0,0,1,0,0,506207,0,1,0,0,1,0,0,0,0,0,"Nov 2019",6,0,2,0,0
"NETHERBY",0,0,0,0,0,0,"5062",0,0,0,2240,0,0,1,0,0,0,506208,0,0,0,0,0,0,0,0,0,0,"Nov 2019",2,1,0,0,0
"TORRENS PARK",0,0,0,0,1,0,"5062",0,0,0,2258,0,0,3,1,2,0,506210,0,2,0,0,0,0,0,0,0,0,"Nov 2019",15,1,4,0,1
"EASTWOOD",0,0,0,0,0,0,"5063",0,0,0,2270,0,0,0,0,0,0,506301,0,1,0,0,0,0,0,0,0,0,"Nov 2019",7,0,2,0,4
"FREWVILLE",0,0,0,0,1,0,"5063",0,0,0,2281,0,0,0,0,0,0,506302,0,0,0,0,0,0,0,0,0,0,"Nov 2019",1,0,0,0,0
"FREWVILLE",0,0,0,0,1,0,"5063",0,0,0,2283,0,1,0,0,2,0,506302,0,0,0,0,1,0,0,0,0,0,"Nov 2019",7,0,0,0,2
"FULLARTON",0,0,0,0,8,0,"5063",0,0,0,2295,0,0,2,0,1,0,506303,0,1,0,0,0,0,0,0,0,0,"Nov 2019",17,0,4,0,1
