SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"KILKENNY",0,3,1,0,2,0,"5009",0,1,0,171,0,0,0,0,3,0,500903,0,3,0,0,0,0,0,1,2,0,"Dec 2019",27,0,10,0,1
"KINGSTON PARK",0,0,0,0,0,0,"5049",0,0,0,1717,0,0,0,0,0,0,504901,0,0,0,0,0,0,0,0,0,0,"Dec 2019",4,0,3,0,1
"MARINO",0,0,0,0,0,0,"5049",0,0,0,1726,0,0,0,0,0,0,504902,0,1,0,0,0,1,0,0,0,0,"Dec 2019",4,1,0,0,1
"SEACLIFF",0,1,0,0,2,0,"5049",0,0,0,1737,0,0,0,1,0,0,504903,0,1,0,0,0,1,0,0,0,0,"Dec 2019",12,0,3,0,3
"SEACLIFF PARK",0,1,0,0,7,0,"5049",0,0,0,1749,0,1,1,0,0,0,504904,0,3,0,0,1,0,0,1,0,0,"Dec 2019",18,0,0,0,3
"SEAVIEW DOWNS",0,0,0,0,2,0,"5049",0,0,1,1761,0,0,2,0,3,0,504905,0,0,0,0,0,0,1,0,0,0,"Dec 2019",22,0,12,0,1
"BELLEVUE HEIGHTS",0,0,0,0,1,0,"5050",0,0,0,1773,0,0,0,0,0,0,505001,0,1,0,0,0,0,0,0,0,0,"Dec 2019",2,0,0,0,0
"EDEN HILLS",0,0,0,0,0,0,"5050",0,0,0,1784,0,0,1,0,0,0,505003,0,1,0,0,0,0,0,0,0,0,"Dec 2019",6,0,1,0,3
"BLACKWOOD",0,1,0,0,0,0,"5051",0,0,0,1796,0,0,0,0,1,0,505101,0,0,0,1,0,0,0,0,0,0,"Dec 2019",5,0,1,1,0
"COROMANDEL VALLEY",0,0,0,0,0,0,"5051",0,0,0,1808,0,0,0,0,0,0,505102,0,0,0,0,0,1,0,0,0,0,"Dec 2019",1,0,0,0,0
"CRAIGBURN FARM",0,0,1,0,0,0,"5051",0,0,0,1818,0,0,0,0,0,0,505104,0,0,0,0,0,0,0,0,0,0,"Dec 2019",2,0,0,0,1
"HAWTHORNDENE",0,0,0,0,0,0,"5051",0,0,0,1829,0,0,0,0,0,0,505103,0,0,0,0,0,0,0,0,0,0,"Dec 2019",1,0,0,0,1
"OTTOWAY",0,1,0,0,3,0,"5013",0,0,0,183,0,0,0,0,0,0,501302,0,2,0,0,0,0,1,0,0,1,"Dec 2019",16,1,2,0,5
"BELAIR",0,0,0,0,3,0,"5052",0,0,1,1838,0,0,0,0,0,0,505201,0,0,0,0,0,0,0,0,0,0,"Dec 2019",15,0,8,0,3
"GLENALTA",0,0,0,0,0,0,"5052",0,0,0,1850,0,1,0,0,0,0,505202,0,2,0,0,0,0,0,0,0,0,"Dec 2019",3,0,0,0,0
"HYDE PARK",0,0,0,0,1,0,"5061",0,0,0,1861,0,0,0,0,0,0,506101,0,0,0,0,0,0,0,0,2,0,"Dec 2019",4,0,1,0,0
"NEWTON",0,0,0,0,4,0,"5074",0,0,0,1873,0,0,1,1,6,0,507402,0,0,0,0,1,1,1,0,0,0,"Dec 2019",33,2,12,0,4
"DERNANCOURT",0,0,0,0,0,0,"5075",0,0,0,1885,0,0,0,0,1,1,507501,0,1,0,0,0,1,1,0,0,0,"Dec 2019",9,1,2,0,1
"PARADISE",0,0,0,0,5,0,"5075",0,0,0,1897,0,0,2,0,0,0,507502,0,4,0,0,0,0,0,0,0,0,"Dec 2019",18,2,4,0,1
"ATHELSTONE",0,0,0,0,3,0,"5076",0,0,0,1909,0,0,1,0,1,0,507601,0,0,0,0,1,0,0,0,0,0,"Dec 2019",13,2,3,0,2
"LOWER MITCHAM",0,0,0,0,0,0,"5062",0,0,0,1921,0,0,0,0,0,0,506205,0,0,0,0,0,0,0,0,1,0,"Dec 2019",2,0,1,0,0
"ROSE PARK",0,0,0,0,0,0,"5067",0,0,0,1937,0,0,1,0,0,0,506704,0,0,0,0,0,0,1,0,0,0,"Dec 2019",9,0,6,0,1
"HEATHPOOL",0,0,0,0,0,0,"5068",0,0,0,1949,0,0,0,0,0,0,506801,0,1,0,0,0,0,0,0,0,0,"Dec 2019",1,0,0,0,0
"PENNINGTON",0,2,0,1,0,0,"5013",0,1,0,195,0,1,1,0,0,0,501303,0,6,0,0,0,0,1,0,0,0,"Dec 2019",27,0,4,1,9
"KENSINGTON",0,0,0,0,0,0,"5068",0,1,0,1957,0,1,1,0,0,0,506802,0,0,0,0,0,0,0,0,0,0,"Dec 2019",11,0,5,0,3
"KENSINGTON GARDENS",0,0,0,0,1,0,"5068",0,0,0,1969,0,0,0,0,0,0,506803,0,0,0,0,0,0,0,0,0,0,"Dec 2019",4,0,2,0,1
