SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"TORRENS PARK",0,0,0,0,2,0,"5062",0,0,0,2262,0,0,0,0,2,0,506210,0,0,0,0,0,0,0,0,0,0,"Jul 2019",8,0,4,0,0
"EASTWOOD",0,1,0,0,0,0,"5063",0,0,0,2274,0,0,0,0,0,0,506301,0,2,0,0,0,1,0,0,0,0,"Jul 2019",6,0,0,0,2
"FREWVILLE",0,0,0,0,1,0,"5063",0,0,0,2287,0,0,0,1,5,0,506302,0,0,0,0,0,0,0,0,0,0,"Jul 2019",9,0,0,0,2
"FULLARTON",0,1,0,0,3,0,"5063",0,0,0,2299,0,0,0,0,1,0,506303,0,1,0,0,0,0,0,1,0,0,"Jul 2019",12,1,2,0,2
"HIGHGATE",0,0,0,0,1,0,"5063",0,0,0,2310,0,0,1,0,0,0,506304,0,0,0,0,0,0,0,0,0,0,"Jul 2019",5,0,2,0,1
"PARKSIDE",0,0,0,0,5,0,"5063",0,0,0,2321,0,0,2,0,0,0,506305,0,0,0,0,0,0,0,0,0,0,"Jul 2019",17,0,8,0,2
"GLEN OSMOND",0,0,0,0,1,0,"5064",0,0,0,2333,0,0,3,0,1,0,506401,0,0,0,1,0,0,1,0,0,0,"Jul 2019",10,1,2,0,0
"GLENUNGA",0,0,0,0,0,0,"5064",0,0,1,2345,0,0,2,0,0,0,506402,0,0,0,0,0,0,0,0,0,0,"Jul 2019",7,0,4,0,0
"MYRTLE BANK",0,0,0,0,1,0,"5064",0,0,0,2359,0,0,2,0,0,0,506404,0,2,0,0,0,0,0,0,1,0,"Jul 2019",10,0,1,0,3
"ALBERT PARK",0,1,0,0,0,0,"5014",0,0,0,237,0,0,0,0,0,0,501402,0,0,0,0,0,0,0,0,0,0,"Jul 2019",4,0,0,0,3
"DULWICH",0,0,0,0,0,0,"5065",0,0,0,2387,0,0,0,1,0,0,506501,0,0,0,0,0,0,0,0,0,0,"Jul 2019",2,0,1,0,0
"GLENSIDE",0,1,0,0,0,0,"5065",0,0,0,2399,0,0,3,1,6,0,506502,0,0,0,0,0,0,0,0,0,0,"Jul 2019",17,0,6,0,0
"LINDEN PARK",0,0,0,0,3,0,"5065",0,0,0,2411,0,0,0,0,0,0,506503,0,0,0,0,0,0,0,0,0,0,"Jul 2019",7,0,2,0,2
"TOORAK GARDENS",0,0,0,0,0,0,"5065",0,0,0,2423,0,0,2,0,0,0,506504,0,0,0,0,0,1,0,0,0,0,"Jul 2019",4,0,0,0,1
"TUSMORE",0,0,0,0,3,0,"5065",0,0,0,2434,0,0,2,0,0,0,506505,0,0,0,0,0,0,0,0,0,0,"Jul 2019",6,0,0,0,1
"BURNSIDE",0,0,0,0,1,0,"5066",0,0,0,2454,0,0,0,0,0,0,506602,0,0,0,0,0,1,1,0,1,0,"Jul 2019",5,0,1,0,0
"ERINDALE",0,0,0,0,1,0,"5066",0,0,0,2463,0,0,0,0,0,0,506603,0,1,0,0,1,0,0,0,0,0,"Jul 2019",6,1,2,0,0
"HAZELWOOD PARK",0,0,0,0,0,0,"5066",0,0,0,2475,0,0,0,0,0,0,506604,0,0,0,0,0,0,0,0,0,0,"Jul 2019",3,0,3,0,0
"STONYFELL",0,0,0,0,0,0,"5066",0,0,0,2485,0,0,0,0,0,0,506605,0,0,0,0,1,0,1,0,0,0,"Jul 2019",2,0,0,0,0
"ALBERTON",0,1,0,0,3,0,"5014",0,0,0,249,0,0,0,0,0,0,501401,0,0,0,0,0,1,1,0,2,0,"Jul 2019",13,0,4,0,1
"WATTLE PARK",0,0,0,0,0,0,"5066",0,0,0,2494,0,0,0,0,0,0,506607,0,0,0,0,0,0,1,0,0,0,"Jul 2019",1,0,0,0,0
"BEULAH PARK",0,0,0,0,0,0,"5067",0,0,0,2505,0,0,1,0,0,0,506701,0,0,0,0,0,0,0,0,0,0,"Jul 2019",1,0,0,0,0
"KENT TOWN",0,0,0,0,2,0,"5067",0,0,0,2517,0,0,3,0,0,0,506702,0,0,0,0,0,0,1,0,0,0,"Jul 2019",21,2,8,0,5
"NORWOOD",0,0,0,0,4,0,"5067",0,0,0,2529,0,1,1,0,6,0,506703,0,2,0,0,3,1,0,0,1,0,"Jul 2019",30,1,6,0,4
"BEDFORD PARK",0,1,0,0,1,0,"5042",0,2,1,2541,0,0,0,3,2,0,504201,0,1,0,0,0,0,1,0,1,0,"Jul 2019",15,0,0,0,2
"CLOVELLY PARK",0,1,0,0,0,0,"5042",0,0,0,2554,0,0,1,1,0,0,504202,0,0,0,0,0,0,0,0,1,0,"Jul 2019",6,1,1,0,0
"PASADENA",0,0,0,0,0,0,"5042",0,0,1,2566,0,0,0,1,3,0,504203,0,1,0,1,0,0,0,0,0,0,"Jul 2019",10,0,2,0,1
"ST MARYS",0,0,0,0,1,0,"5042",0,0,0,2578,0,0,1,0,0,0,504204,0,1,0,0,2,1,0,0,0,0,"Jul 2019",18,0,12,0,0
"TONSLEY",0,0,0,0,0,0,"5042",0,0,0,2590,0,0,1,0,0,0,504205,0,0,0,0,0,0,0,0,1,0,"Jul 2019",2,0,0,0,0
"ASCOT PARK",0,0,0,0,3,0,"5043",0,0,0,2601,0,0,3,1,4,0,504301,0,3,0,2,1,0,0,0,0,0,"Jul 2019",18,0,0,0,1
"CHELTENHAM",0,0,0,0,3,0,"5014",0,0,0,261,0,0,1,1,0,0,501403,0,0,0,0,0,0,2,0,0,0,"Jul 2019",13,0,3,0,3
"MARION",0,1,0,0,3,0,"5043",0,0,0,2613,0,0,2,2,3,0,504302,0,0,0,0,0,1,1,0,0,0,"Jul 2019",23,1,5,0,4
