SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"GLENSIDE",0,0,0,0,6,0,"5065",0,1,0,2398,0,0,1,3,2,0,506502,0,0,0,0,0,0,1,0,0,0,"Aug 2019",25,3,5,0,3
"LINDEN PARK",0,0,0,0,1,0,"5065",0,0,0,2410,0,0,0,0,0,0,506503,0,0,0,0,0,0,0,0,0,0,"Aug 2019",3,0,2,0,0
"TOORAK GARDENS",0,0,0,0,2,0,"5065",0,0,0,2422,0,0,1,0,0,0,506504,0,0,0,0,0,1,0,0,0,0,"Aug 2019",6,0,1,0,1
"TUSMORE",0,0,0,0,1,0,"5065",0,0,0,2433,0,0,1,0,0,0,506505,0,0,0,0,0,0,0,0,0,0,"Aug 2019",7,0,3,0,2
"BEAUMONT",0,0,0,0,0,0,"5066",0,0,0,2443,0,0,0,0,0,0,506601,0,1,0,0,0,0,0,0,0,0,"Aug 2019",1,0,0,0,0
"BURNSIDE",0,0,0,0,1,0,"5066",0,0,0,2453,0,0,0,0,0,0,506602,0,0,0,0,0,0,0,0,0,0,"Aug 2019",1,0,0,0,0
"HAZELWOOD PARK",0,0,0,0,0,0,"5066",0,0,0,2474,0,0,0,0,0,0,506604,0,0,0,0,0,1,0,0,0,0,"Aug 2019",2,0,1,0,0
"ALBERTON",0,0,0,0,2,0,"5014",0,0,0,248,0,1,3,0,0,1,501401,0,3,0,0,0,0,2,0,0,0,"Aug 2019",18,0,5,0,1
"STONYFELL",0,0,0,0,0,0,"5066",0,0,0,2484,0,0,0,0,0,0,506605,0,0,0,0,0,0,0,0,0,0,"Aug 2019",1,0,0,0,1
"WATERFALL GULLY",0,0,0,0,0,0,"5066",0,0,0,2489,0,0,0,0,0,0,506606,0,0,0,0,0,0,0,0,0,0,"Aug 2019",1,0,1,0,0
"BEULAH PARK",0,0,0,0,0,0,"5067",0,0,0,2504,0,0,0,0,0,0,506701,0,2,0,0,0,0,0,0,0,0,"Aug 2019",4,0,1,0,1
"KENT TOWN",0,0,1,0,1,0,"5067",0,0,0,2516,0,0,2,0,1,0,506702,0,0,0,0,1,6,0,0,1,0,"Aug 2019",21,0,3,0,5
"NORWOOD",0,0,0,0,7,0,"5067",0,0,0,2528,0,4,0,1,6,0,506703,0,0,0,0,1,1,2,0,0,0,"Aug 2019",37,0,10,0,5
