SUBURB, non_agg_sex_assault, serious_assault_result_injury, assault_police, dang_negli_acts, theft_from_motor_veh, prop_dam_by_fire_expl, POSTCODE, blackmail_extor, receive_handle_proceeds_crime, abduc_harass_other, id, agg_sex_assault, graffiti, sct_residence, common_assault, theft_from_shop, agg_robbery, SUBURB_NUMBER, non_assault_sex_off, serious_assault_not_result_injury, murder, other_acts_intend_cause_injury, obtain_benefit_by_decept, sct_non_residence, theft_illegal_use_mv, threatening_beh, other_fraud_decep_rel_offences, other_hom_rel_offences, month_year, total_offences, trespass_other, other_theft, non_agg_robbery, other_prop_damage_envl
"EASTWOOD",0,1,0,0,1,0,"5063",0,0,0,2280,0,0,0,0,1,0,506301,0,3,0,0,0,1,0,0,0,0,"Jan 2020",17,0,2,0,8
"FREWVILLE",0,0,0,0,2,1,"5063",0,0,0,2293,0,0,0,0,5,0,506302,0,1,0,0,0,0,0,0,0,0,"Jan 2020",12,0,1,0,2
"WINGFIELD",0,1,0,0,1,0,"5013",0,0,0,230,0,1,0,0,1,0,501305,0,0,0,0,0,0,0,0,0,0,"Jan 2020",21,4,10,0,3
"FULLARTON",0,0,0,0,4,0,"5063",0,0,0,2305,0,0,1,0,2,0,506303,0,1,0,0,0,0,0,0,0,0,"Jan 2020",15,1,4,0,2
"HIGHGATE",0,0,0,0,1,0,"5063",0,0,0,2315,0,0,3,0,0,0,506304,0,0,0,0,0,0,0,0,0,0,"Jan 2020",5,0,1,0,0
"PARKSIDE",0,0,0,0,1,0,"5063",0,0,0,2327,0,1,1,0,2,0,506305,0,2,0,0,0,2,0,0,0,0,"Jan 2020",18,1,7,0,1
"GLEN OSMOND",0,0,0,0,2,0,"5064",0,0,0,2339,0,0,0,0,0,0,506401,0,1,0,0,0,0,0,0,0,0,"Jan 2020",14,0,10,0,1
"GLENUNGA",0,0,0,0,0,0,"5064",0,0,2,2351,0,0,0,0,1,0,506402,0,0,0,0,0,0,0,0,1,0,"Jan 2020",7,0,3,0,0
"MYRTLE BANK",0,0,0,0,1,0,"5064",0,0,1,2365,0,0,1,0,0,0,506404,0,1,0,0,0,1,0,0,0,0,"Jan 2020",10,1,1,0,3
"ST GEORGES",0,0,0,0,2,0,"5064",0,0,0,2373,0,0,0,0,0,0,506405,0,0,0,0,0,0,1,0,0,0,"Jan 2020",3,0,0,0,0
"URRBRAE",0,0,0,0,1,0,"5064",0,0,0,2381,0,0,0,0,0,0,506406,0,0,0,0,0,0,0,0,0,0,"Jan 2020",1,0,0,0,0
"DULWICH",0,1,0,0,2,0,"5065",0,0,0,2393,0,0,1,0,0,0,506501,0,1,0,0,0,0,0,0,0,0,"Jan 2020",9,1,2,0,1
"GLENSIDE",0,0,0,0,0,0,"5065",0,0,0,2405,0,0,0,0,3,0,506502,0,2,0,0,0,0,1,0,0,0,"Jan 2020",14,2,6,0,0
"LINDEN PARK",0,0,0,0,1,0,"5065",0,0,0,2417,0,0,0,0,0,0,506503,0,1,0,0,0,0,0,0,0,0,"Jan 2020",4,0,2,0,0
"TOORAK GARDENS",0,0,0,0,4,0,"5065",0,0,0,2429,0,0,2,0,0,0,506504,0,0,0,0,0,2,1,0,0,0,"Jan 2020",12,0,2,0,1
"ALBERT PARK",0,1,0,0,2,0,"5014",0,0,0,243,0,0,0,0,0,0,501402,0,0,0,0,0,0,0,1,0,0,"Jan 2020",8,1,3,0,0
"TUSMORE",0,0,0,0,0,0,"5065",0,0,0,2438,0,0,0,0,0,0,506505,0,0,0,0,0,0,0,0,0,0,"Jan 2020",1,0,0,0,1
